Module,GO_term,Overlap,P-value,Adjusted P-value,Odds Ratio,Genes
Mic2,regulation of NMDA receptor activity (GO:2000310),13/32,3.869112308779511e-07,4.659160080217392e-05,8.001304915180514,GRIA1;GRIA2;NLGN1;ACTN2;DAPK1;GRIN2B;GRIN2A;DLG2;DLG3;LRRC7;PTK2B;GRIA3;GRIA4
Mic2,enzyme linked receptor protein signaling pathway (GO:0007167),30/140,4.352712270804569e-07,5.077710908410455e-05,3.208226221079692,EPHB6;ALK;DDR1;PTPRT;SHC3;PTPRF;EGFR;IGF1R;PTPRG;ERBB4;PTK2B;EPHB1;EPHA5;EPHA4;NTRK2;EPHA7;EPHA6;BDNF;NTRK3;STYK1;LMTK2;LIFR;GFRA2;PTK2;ACVR2A;PTPRD;AHI1;TYRO3;EPHA3;FGFR2
Mic2,neuron projection development (GO:0031175),34/171,4.970652659715894e-07,5.596325726213082e-05,2.9226145684400637,NCKAP1;CNTNAP2;NLGN1;CTNND2;RASGRF1;BICDL1;FRY;NYAP2;PPP1R9A;CAMSAP2;ATCAY;OPHN1;GRM7;MAP2;TMEM108;PAK3;EPHB1;SH3GL2;ZNF365;LGI1;EPHA4;BDNF;WHRN;LAMB1;MAPK8IP3;DCLK1;MYO16;ALS2;CTTN;TBC1D24;TNIK;CNTN4;MAPT;SHANK1
Mic2,cell-cell junction assembly (GO:0007043),19/66,5.097108885380251e-07,5.596325726213082e-05,4.738326385965865,PATJ;CTNND2;CDH9;CDH8;CDH7;CDH6;CLDN11;TJP1;CDH2;CDH20;CDH10;CDH11;CDH22;CDH12;CDHR3;PKP2;PKP4;CDH18;JAM3
Mic2,neuron cell-cell adhesion (GO:0007158),9/16,8.305884148201249e-07,8.409348005825352e-05,15.00706585741462,NLGN1;NLGN4X;NRXN1;NRXN3;NRXN2;CNTN4;NCAM2;ASTN2;ASTN1
Mic2,regulation of kinase activity (GO:0043549),23/94,8.322604020426155e-07,8.409348005825352e-05,3.8017265460967984,ALK;DDR1;EPHB6;EPHA5;EPHA4;NTRK2;EPHA7;EPHA6;LDB1;NTRK3;LMTK2;LDB2;EGFR;IGF1R;CAMKK2;TTN;ERBB4;TYRO3;ANKRD54;MAPT;EPHB1;EPHA3;FGFR2
Mic2,regulation of dendrite development (GO:0050773),14/39,8.335008738696438e-07,8.409348005825352e-05,6.550788804071247,ALK;CDKL5;BCL11A;DCC;COBL;CAMSAP2;ADGRB3;HECW2;HECW1;CSMD3;TNIK;KIAA0319;LZTS1;MARK1
Mic2,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339),13/36,1.904887444490103e-06,0.0001871301271126725,6.608336327703917,NLGN1;CDH9;CDH8;CDH7;CDH6;CDH20;CDH10;CDH22;CDH11;CDH12;CDHR3;CDH13;CDH18
Mic2,cell junction organization (GO:0034330),19/72,2.1901537562098886e-06,0.00020963702492132088,4.200539427580643,PRKCI;TGFB2;NLGN4X;CTNND2;LRP4;SLC6A1;MYO9A;SLC8A3;TJP1;GRM5;PPFIBP1;OPHN1;APBB2;MAPT;PAK3;PPFIA4;PPFIA3;CBLN2;PPFIA2
Mic2,synaptic membrane adhesion (GO:0099560),8/14,2.9890238784658e-06,0.0002722385052550577,15.553865652724967,NTNG1;PTPRD;LRFN5;PTPRS;LRRC4C;GPC6;PTPRF;LRRC4B
Mic2,establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197),12/32,2.990029122812045e-06,0.0002722385052550577,7.011689961880559,CAMSAP3;CRB1;PRKCI;DLG2;OPHN1;DLG3;MTCL1;LRRC7;PARD3;LIN7A;SYNJ2BP;MYO9A
Mic2,sodium ion transmembrane transport (GO:0035725),21/87,3.1232937808727477e-06,0.00027760132580947536,3.7303514376996807,SLC24A2;SLC12A2;SLC24A4;SLC24A3;SLC6A17;SLC6A15;SLC6A11;ATP1A2;SLC6A1;SLC4A4;NALCN;SLC9A1;SLC8A3;SCN8A;ASIC2;KCNK1;SCN2A;SCN3A;HCN2;SCN1A;HCN1
